method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
AnomalyOnly,A1_source_corruption,medium_real,21,SRC_STOCK_4_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.014781951904296875,1
Schema-Constraint,A1_source_corruption,medium_real,21,SRC_STOCK_4_PRICE,REPORT_LIMIT,4,0,0,1,0.25,0.8,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,22,SRC_STOCK_10_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,2.184152603149414,9
APA-RCA-v3,A1_source_corruption,medium_real,22,SRC_STOCK_10_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,1.3480186462402344,9
AnomalyOnly,A1_source_corruption,medium_real,22,SRC_STOCK_10_PRICE,REPORT_LIMIT,8,0,0,0,0.125,1.0,0.016689300537109375,1
Schema-Constraint,A1_source_corruption,medium_real,22,SRC_STOCK_10_PRICE,REPORT_LIMIT,10,0,0,0,0.1,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,23,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.589059829711914,9
APA-RCA-v3,A1_source_corruption,medium_real,23,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4030933380126953,9
AnomalyOnly,A1_source_corruption,medium_real,23,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.015735626220703125,1
Schema-Constraint,A1_source_corruption,medium_real,23,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,24,SRC_STOCK_5_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4491081237792969,9
APA-RCA-v3,A1_source_corruption,medium_real,24,SRC_STOCK_5_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,2.213001251220703,9
AnomalyOnly,A1_source_corruption,medium_real,24,SRC_STOCK_5_PRICE,REPORT_LIMIT,8,0,0,0,0.125,1.0,0.041961669921875,1
