method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
APA-RCA-v2,A2_etl_logic_error,small,16,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.7648468017578125,9
CVAE+APA-RCA,A2_etl_logic_error,small,16,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,7.0,0,0,0,0.14285714285714285,1.0,0.6802082061767578,9
APA-RCA-v2,A2_etl_logic_error,small,17,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.6930828094482422,9
CVAE+APA-RCA,A2_etl_logic_error,small,17,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,7.0,0,0,0,0.14285714285714285,1.0,0.6086826324462891,9
APA-RCA-v2,A2_etl_logic_error,small,18,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.7119178771972656,9
CVAE+APA-RCA,A2_etl_logic_error,small,18,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,6.0,0,0,0,0.16666666666666666,1.0,0.6761550903320312,9
APA-RCA-v2,A2_etl_logic_error,small,19,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.7469654083251953,9
CVAE+APA-RCA,A2_etl_logic_error,small,19,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,7.0,0,0,0,0.14285714285714285,1.0,0.8170604705810547,9
APA-RCA-v2,A2_etl_logic_error,small,20,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.6783008575439453,9
CVAE+APA-RCA,A2_etl_logic_error,small,20,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,7.0,0,0,0,0.14285714285714285,1.0,0.7669925689697266,9
APA-RCA-v2,A2_etl_logic_error,small,21,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,4.0,0,0,1,0.25,0.8,0.6310939788818359,9
CVAE+APA-RCA,A2_etl_logic_error,small,21,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,7.0,0,0,0,0.14285714285714285,1.0,0.6499290466308594,9
APA-RCA-v2,A2_etl_logic_error,small,22,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.6778240203857422,9
CVAE+APA-RCA,A2_etl_logic_error,small,22,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,6.0,0,0,0,0.16666666666666666,1.0,0.6451606750488281,9
APA-RCA-v2,A2_etl_logic_error,small,23,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.7510185241699219,9
CVAE+APA-RCA,A2_etl_logic_error,small,23,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,6.0,0,0,0,0.16666666666666666,1.0,0.7939338684082031,9
APA-RCA-v2,A2_etl_logic_error,small,24,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.8149147033691406,9
CVAE+APA-RCA,A2_etl_logic_error,small,24,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,4.0,0,0,1,0.25,0.8,0.7169246673583984,9
APA-RCA-v2,A2_etl_logic_error,small,25,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.6289482116699219,9
CVAE+APA-RCA,A2_etl_logic_error,small,25,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,5.0,0,0,1,0.2,0.8,0.6959438323974609,9
APA-RCA-v2,A2_etl_logic_error,small,26,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.6859302520751953,9
CVAE+APA-RCA,A2_etl_logic_error,small,26,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,5.0,0,0,1,0.2,0.8,0.6449222564697266,9
APA-RCA-v2,A2_etl_logic_error,small,27,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.6768703460693359,9
CVAE+APA-RCA,A2_etl_logic_error,small,27,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,6.0,0,0,0,0.16666666666666666,1.0,0.6639957427978516,9
APA-RCA-v2,A2_etl_logic_error,small,28,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.6439685821533203,9
CVAE+APA-RCA,A2_etl_logic_error,small,28,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,8.0,0,0,0,0.125,1.0,0.6577968597412109,9
APA-RCA-v2,A2_etl_logic_error,small,29,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.7276535034179688,9
CVAE+APA-RCA,A2_etl_logic_error,small,29,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,6.0,0,0,0,0.16666666666666666,1.0,0.8292198181152344,9
APA-RCA-v2,A3_feature_calc_error,small,0,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,9.0,0,0,0,0.1111111111111111,1.0,0.6966590881347656,9
CVAE+APA-RCA,A3_feature_calc_error,small,0,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.7050037384033203,9
APA-RCA-v2,A3_feature_calc_error,small,1,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,12.0,0,0,0,0.08333333333333333,1.0,0.5438327789306641,9
