method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
APA-RCA-v2,A5_downstream_masking,medium_real,6,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.6411075592041016,9
AnomalyOnly,A5_downstream_masking,medium_real,6,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,12,0,0,0,0.08333333333333333,1.0,0.0069141387939453125,1
APA-RCA-v2,A5_downstream_masking,medium_real,7,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.637054443359375,9
AnomalyOnly,A5_downstream_masking,medium_real,7,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,13,0,0,0,0.07692307692307693,1.0,0.0069141387939453125,1
APA-RCA-v2,A5_downstream_masking,medium_real,8,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.6349086761474609,9
AnomalyOnly,A5_downstream_masking,medium_real,8,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,11,0,0,0,0.09090909090909091,1.0,0.0069141387939453125,1
APA-RCA-v2,A5_downstream_masking,medium_real,9,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.6930828094482422,9
AnomalyOnly,A5_downstream_masking,medium_real,9,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,13,0,0,0,0.07692307692307693,1.0,0.008344650268554688,1
APA-RCA-v2,A6_multi_source,medium_real,0,SRC_STOCK_4_PRICE,REPORT_STRESS,2,0,1,1,0.5,0.8,0.6861686706542969,9
AnomalyOnly,A6_multi_source,medium_real,0,SRC_STOCK_4_PRICE,REPORT_STRESS,3,0,1,1,0.3333333333333333,0.8,0.0069141387939453125,1
APA-RCA-v2,A6_multi_source,medium_real,1,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.6458759307861328,9
AnomalyOnly,A6_multi_source,medium_real,1,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,5,0,0,1,0.2,0.8,0.007152557373046875,1
APA-RCA-v2,A6_multi_source,medium_real,2,SRC_STOCK_2_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.6499290466308594,9
AnomalyOnly,A6_multi_source,medium_real,2,SRC_STOCK_2_PRICE,REPORT_DASHBOARD,4,0,0,1,0.25,0.8,0.007152557373046875,1
APA-RCA-v2,A6_multi_source,medium_real,3,SRC_STOCK_1_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,0.6461143493652344,9
AnomalyOnly,A6_multi_source,medium_real,3,SRC_STOCK_1_PRICE,REPORT_STRESS,2,0,1,1,0.5,0.8,0.0069141387939453125,1
APA-RCA-v2,A6_multi_source,medium_real,4,SRC_STOCK_3_PRICE,REPORT_STRESS,2,0,1,1,0.5,0.8,0.6289482116699219,9
AnomalyOnly,A6_multi_source,medium_real,4,SRC_STOCK_3_PRICE,REPORT_STRESS,2,0,1,1,0.5,0.8,0.007152557373046875,1
