method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
APA-RCA,A2_etl_logic_error,small,11,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.45680999755859375,9
Schema-Constraint,A2_etl_logic_error,small,11,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,16,0,0,0,0.0625,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,12,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.44083595275878906,9
Schema-Constraint,A2_etl_logic_error,small,12,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,17,0,0,0,0.058823529411764705,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,13,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.4520416259765625,9
Schema-Constraint,A2_etl_logic_error,small,13,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,14,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.45108795166015625,9
Schema-Constraint,A2_etl_logic_error,small,14,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,16,0,0,0,0.0625,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,15,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.45108795166015625,9
Schema-Constraint,A2_etl_logic_error,small,15,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,16,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.4470348358154297,9
Schema-Constraint,A2_etl_logic_error,small,16,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,17,0,0,0,0.058823529411764705,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,17,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.4429817199707031,9
